name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Dererk Pardon,35,0.18100000000000002,0.205,0.7809999999999999,0.033,0.024,0.33299999999999996,2018-19
Vic Law,8,0.062,0.111,1,0.013999999999999999,0,0,2018-19
Barret Benson,8,0.184,0.2,0.5710000000000001,0.059000000000000004,0,0,2018-19
Anthony Gaines,7,0.071,0.065,0.5,0.024,0,0,2018-19
Miller Kopp,6,0.132,0.13,0.6,0.02,0,0,2018-19
Ryan Taylor,4,0.16699999999999998,0.267,1,0,0,NA,2018-19
Pete  Nance,4,0.33299999999999996,0.25,0.5,0,0,NA,2018-19
A.J. Turner,2,0.033,0.032,0.5,0,0,NA,2018-19
Ryan Greer,1,0,0,NA,0.053,0,0,2018-19
Total,75,0.122,0.147,0.7190000000000001,0.017,0.006,0.111,2018-19
