name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Justus Rainwater,17,0.126,0.125,0.615,0.121,0.059000000000000004,0.25,2019-20,FGCU
Zach Scott,13,0.16699999999999998,0.11800000000000001,0.33299999999999996,0,0,NA,2019-20,FGCU
Brian Thomas,11,0.344,0.222,0.364,NA,NA,NA,2019-20,FGCU
Caleb Catto,8,0.047,0.039,0.5,0.044000000000000004,0.027999999999999997,0.25,2019-20,FGCU
Dakota Rivers,7,0.11800000000000001,0.028999999999999998,0.16699999999999998,0.083,0.125,1,2019-20,FGCU
Tracy Hector,6,0.125,0.188,0.6,0.045,0,0,2019-20,FGCU
Cyrus Largie,4,0.073,0.083,0.667,0.125,1,1,2019-20,FGCU
Qwanzi Samuels,2,0.2,0.2,0.5,0,0,NA,2019-20,FGCU
Jalen Warren,2,0.016,0.013999999999999999,0.5,0,0,NA,2019-20,FGCU
Malik Hardy,2,0.07400000000000001,0.062,0.5,0,0,NA,2019-20,FGCU
Total,72,0.096,0.078,0.45,0.027000000000000003,0.026000000000000002,0.364,2019-20,FGCU
