name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Jalen Jenkins,33,0.19399999999999998,0.18899999999999997,0.741,0.05,0.019,0.16699999999999998,2016-17
Marquise Moore,21,0.057,0.059000000000000004,0.667,0.052000000000000005,0.105,0.667,2016-17
Jaire Grayer,18,0.12,0.135,0.7,0.08,0.161,0.625,2016-17
Ian Boyd,10,0.071,0.071,0.667,0.132,0.17600000000000002,0.429,2016-17
Troy Temara,2,0.04,0,0,0.062,0,0,2016-17
Kameron Murrell,2,0,0,NA,0.28600000000000003,0.5,0.5,2016-17
Daniel Relvao,2,0.083,0,0,0.125,NA,0,2016-17
Justin Kier,2,0.016,0.031,1,0.03,0.1,1,2016-17
Otis Livingston II,1,0.01,0,0,0,0,NA,2016-17
Danny Dixon,1,0,0,NA,0.33299999999999996,NA,0,2016-17
Total,92,0.078,0.084,0.679,0.051,0.07,0.47200000000000003,2016-17
