name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Alec Brown,25,0.214,0.22699999999999998,0.682,0.021,0.035,0.667,2013-14
Jordan Fouse,24,0.18100000000000002,0.2,0.706,0.121,0.33299999999999996,0.7140000000000001,2013-14
Kenneth Lowe,19,0.2,0.244,0.846,0.28600000000000003,0.28600000000000003,0.33299999999999996,2013-14
Greg Mays,17,0.12,0.141,0.909,0.05,0.071,0.667,2013-14
Vincent Garrett,11,0.129,0.179,0.625,0.081,0.111,0.33299999999999996,2013-14
Keifer Sykes,6,0.027999999999999997,0.034,0.8,0.006999999999999999,0,0,2013-14
Josh Humphrey,3,0.6,1,0.667,0,0,NA,2013-14
Carrington Love,2,0.018000000000000002,0.031,1,0,0,NA,2013-14
Alfonzo McKinnie,1,0.091,0.2,1,0,0,NA,2013-14
Lamin Fulton,1,0,0,NA,0.1,0.25,1,2013-14
Turner Botz,1,0.33299999999999996,0,0,0,NA,NA,2013-14
Total,110,0.11699999999999999,0.136,0.7440000000000001,0.046,0.07,0.556,2013-14
