name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Nathan Knight,44,0.172,0.19,0.725,0.038,0.022000000000000002,0.25,2019-20
Andy Van Vliet,17,0.14,0.175,0.769,0.033,0.053,0.75,2019-20
Bryce Barnes,5,0.032,0.015,0.25,0.023,0,0,2019-20
Quinn Blair,4,0.06,0.031,0.33299999999999996,0.055999999999999994,0.125,1,2019-20
Tyler Hamilton,4,0.057,0,0,0,0,NA,2019-20
Mehkel Harvey,3,0.33299999999999996,0.25,0.33299999999999996,0,0,NA,2019-20
Thornton Scott,2,0.042,0.091,1,0,0,NA,2019-20
Luke Loewe,2,0.02,0.016,0.5,0,0,NA,2019-20
Thatcher Stone,1,0.33299999999999996,0.5,1,0,NA,NA,2019-20
Total,82,0.098,0.105,0.634,0.027999999999999997,0.032,0.5,2019-20
