name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Tyler Davis,55,0.205,0.19899999999999998,0.6809999999999999,0.08199999999999999,0.079,0.375,2017-18,TexasA&M
Robert Williams,38,0.21899999999999997,0.196,0.75,0.125,0.125,0.4,2017-18,TexasA&M
Tonny Trocha-Morelos,16,0.184,0.263,0.7140000000000001,0.043,0.05,0.5,2017-18,TexasA&M
Savion Flagg,14,0.282,0.26899999999999996,0.636,0.125,0,0,2017-18,TexasA&M
DJ Hogg,13,0.13699999999999998,0.128,0.5,0.067,0.133,0.667,2017-18,TexasA&M
Admon Gilder,2,0.022000000000000002,0.019,0.5,0,0,NA,2017-18,TexasA&M
Jay Jay Chandler,2,0.047,0.036000000000000004,0.5,0,0,NA,2017-18,TexasA&M
TJ Starks,1,0,0,NA,0.011000000000000001,0,0,2017-18,TexasA&M
JJ Caldwell,1,0.043,0.091,1,0,0,NA,2017-18,TexasA&M
Isiah Jasey,1,0.25,0,0,0,NA,NA,2017-18,TexasA&M
Total,143,0.13,0.142,0.672,0.051,0.051,0.37,2017-18,TexasA&M
