name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Wesley Saunders,16,0.11900000000000001,0.132,0.643,0.012,0.017,0.5,2014-15,Harvard
Zena Edosomwan,10,0.145,0.08800000000000001,0.3,0,0,NA,2014-15,Harvard
Jonah Travis,10,0.16,0.091,0.375,0.069,0.1,0.5,2014-15,Harvard
Steve Moundou-Missi,8,0.065,0.105,0.857,0.008,0,0,2014-15,Harvard
Agunwa Okolie,5,0.096,0.054000000000000006,0.4,0,0,NA,2014-15,Harvard
Kenyatta Smith,4,0.10800000000000001,0.083,0.5,0,0,NA,2014-15,Harvard
Evan Cummins,4,0.107,0.062,0.33299999999999996,0.25,0.5,1,2014-15,Harvard
Andre Chatfield,1,0.091,0,0,0,0,NA,2014-15,Harvard
Chris Egi,1,0,0,NA,0.5,NA,0,2014-15,Harvard
Total,59,0.09699999999999999,0.087,0.5,0.013000000000000001,0.013999999999999999,0.429,2014-15,Harvard
