name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Eric Stutz,18,0.124,0.14300000000000002,0.875,0.055999999999999994,0,0,2013-14
Tarius Johnson,14,0.16899999999999998,0.17800000000000002,0.615,0.02,0,0,2013-14
Corey Walden,11,0.07,0.051,0.5,0.024,0.077,1,2013-14
Orlando Williams,4,0.057999999999999996,0.065,0.75,0,0,NA,2013-14
Jeff Johnson,4,0.15,0.1,0.33299999999999996,0.2,0,0,2013-14
Timmy Knipp,4,0.136,0.067,0.33299999999999996,0.2,1,1,2013-14
Marcus Lewis,4,0.021,0.032,1,0.031,0,0,2013-14
Glenn Cosey,3,0.009000000000000001,0.018000000000000002,1,0.019,0,0,2013-14
Herb Harrison,1,1,NA,0,0,0,NA,2013-14
Isaac McGlone,1,0.1,0.14300000000000002,1,0,0,NA,2013-14
Total,64,0.075,0.078,0.6729999999999999,0.03,0.022000000000000002,0.25,2013-14
