name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Chris Patton,30,0.171,0.133,0.55,0.052000000000000005,0.059000000000000004,0.5,2012-13,UCRiverside
Taylor Johns,22,0.205,0.245,0.722,0.125,0,0,2012-13,UCRiverside
Josh Fox,22,0.188,0.17800000000000002,0.667,0.064,0.061,0.33299999999999996,2012-13,UCRiverside
Lucas Devenny,13,0.33299999999999996,0.188,0.3,0.158,0.33299999999999996,0.667,2012-13,UCRiverside
Chris Harriel,7,0.071,0.057,0.5,0.016,0,0,2012-13,UCRiverside
Davin Guinn,5,0.22699999999999998,0.188,0.6,0,0,NA,2012-13,UCRiverside
Austin Quick,1,0.036000000000000004,0.071,1,0,0,NA,2012-13,UCRiverside
Dayton Boddie,1,0.062,0,0,0,0,NA,2012-13,UCRiverside
Robert Smith,1,0,0,NA,0.021,0,0,2012-13,UCRiverside
Steven Jones,1,0.083,0.111,1,0,0,NA,2012-13,UCRiverside
Total,103,0.14,0.128,0.581,0.045,0.048,0.35700000000000004,2012-13,UCRiverside
