name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Cornelius Taylor,369,0.4710000000000001,0.45299999999999996,0.146,0.48100000000000004,0.115,0.27899999999999997,0.379,0.051,0.575,0.321,0.588,0.149,0.691,2019-20,Fla.Atlantic
Jailyn Ingram,308,0.527,0.5,0.354,0.6609999999999999,0.25,0.312,0.32299999999999995,0.19399999999999998,0.33399999999999996,0.33,0.882,0.22699999999999998,0.743,2019-20,Fla.Atlantic
Richardson  Maitre,234,0.588,0.5579999999999999,0.19699999999999998,0.63,0.10300000000000001,0.308,0.431,0.065,0.496,0.405,0.809,0.27399999999999997,0.7809999999999999,2019-20,Fla.Atlantic
Michael Forrest,225.99999999999997,0.5770000000000001,0.542,0.221,0.58,0.207,0.102,0.217,0.2,0.677,0.386,0.8640000000000001,0.31,0.7709999999999999,2019-20,Fla.Atlantic
Karlis Silins,181,0.5730000000000001,0.539,0.425,0.7140000000000001,0.564,0.354,0.266,0.47100000000000003,0.221,0.425,1,0.42,0.711,2019-20,Fla.Atlantic
Aleksandar Zecevic,162,0.559,0.5489999999999999,0.389,0.619,0.59,0.444,0.569,0.537,0.16699999999999998,0.222,0.833,0.198,0.625,2019-20,Fla.Atlantic
Jaylen Sebree,119,0.45199999999999996,0.441,0.218,0.5770000000000001,0.33299999999999996,0.14300000000000002,0.353,0.16699999999999998,0.639,0.276,0.81,0.126,0.6,2019-20,Fla.Atlantic
Kenan  Blackshear,92,0.4300000000000001,0.353,0.348,0.531,0.294,0.391,0.306,0.182,0.261,0.125,1,0.609,0.6609999999999999,2019-20,Fla.Atlantic
Madiaw  Niang,74,0.48200000000000004,0.45299999999999996,0.473,0.657,0.609,0.284,0.28600000000000003,0.833,0.243,0.16699999999999998,1,0.257,0.684,2019-20,Fla.Atlantic
D.J.  Robertson,68,0.44600000000000006,0.39,0.441,0.5329999999999999,0,0.162,0.273,0,0.397,0.185,1,0.426,0.69,2019-20,Fla.Atlantic
Everett  Winchester,66,0.45799999999999996,0.43200000000000005,0.424,0.5,0.14300000000000002,0.348,0.435,0.1,0.22699999999999998,0.2,1,0.33299999999999996,0.591,2019-20,Fla.Atlantic
Dardan Kapiti,25,0.694,0.68,0.72,0.722,0.462,0.2,0.8,0.5,0.08,0,NA,0.08,1,2019-20,Fla.Atlantic
Carrington McCaskill,4,0.6649999999999999,1,0.75,1,1,0.25,1,1,0,NA,NA,2.25,0.33299999999999996,2019-20,Fla.Atlantic
Total,1928,0.523,0.495,0.29600000000000004,0.615,0.33899999999999997,0.282,0.377,0.259,0.42200000000000004,0.327,0.797,0.26899999999999996,0.703,2019-20,Fla.Atlantic
