name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Darien Nelson-Henry,19,0.13699999999999998,0.141,0.625,0.048,0.091,0.667,2014-15
Greg Louis,18,0.326,0.344,0.733,0.062,0.048,0.33299999999999996,2014-15
Mike Auger,9,0.17,0.152,0.625,0.042,0,0,2014-15
Matt Howard,7,0.10400000000000001,0.114,0.7140000000000001,0,0,NA,2014-15
Dylan Jones,7,0.3,0.25,0.5,0.083,0.33299999999999996,1,2014-15
Tony Hicks,3,0.036000000000000004,0.043,0.667,0,0,NA,2014-15
Shawn Simmons,1,NA,NA,NA,1,NA,0,2014-15
Sam Jones,1,0.33299999999999996,0.5,1,0,0,NA,2014-15
Matt Hanessian,1,1,NA,0,0,0,NA,2014-15
Darnell Foreman,1,0,0,NA,0,0,NA,2014-15
Camryn Crocker,1,0.071,0.2,1,0,0,NA,2014-15
Antonio Woods,1,0,0,NA,0.013000000000000001,0,0,2014-15
Total,69,0.12,0.13,0.655,0.022000000000000002,0.026000000000000002,0.4,2014-15
