name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Andrew Wiggins,31,0.162,0.19399999999999998,0.76,0.042,0.062,0.5,2013-14,Kansas
Perry Ellis,25,0.122,0.11599999999999999,0.619,0.031,0.037000000000000005,0.5,2013-14,Kansas
Tarik Black,21,0.221,0.2,0.667,0,0,NA,2013-14,Kansas
Joel Embiid,15,0.114,0.126,0.846,0.038,0.105,1,2013-14,Kansas
Jamari Traylor,15,0.154,0.17600000000000002,0.9,0.185,0.273,0.6,2013-14,Kansas
Selden Wayne,9,0.10300000000000001,0.085,0.5710000000000001,0.025,0,0,2013-14,Kansas
Brannen Greene,3,0.222,0.28600000000000003,1,0.077,0,0,2013-14,Kansas
Frank Mason,2,0.013999999999999999,0,0,0.038,0,0,2013-14,Kansas
Naadir Tharpe,2,0.024,0.045,1,0,0,NA,2013-14,Kansas
Landen Lucas,2,0.133,0.1,0.5,0,0,NA,2013-14,Kansas
Conner Frankamp,1,0,0,NA,0,0,NA,2013-14,Kansas
Andrew White III,1,0.125,0.16699999999999998,1,0,0,NA,2013-14,Kansas
Total,127,0.127,0.13699999999999998,0.721,0.037000000000000005,0.046,0.47600000000000003,2013-14,Kansas
