name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Chris Clarke,13,0.141,0.188,0.75,0.024,0,0,2019-20,TexasTech
TJ Holyfield,11,0.115,0.114,0.727,0,0,NA,2019-20,TexasTech
Kevin McCullar,9,0.11699999999999999,0.095,0.5710000000000001,0.051,0.067,0.5,2019-20,TexasTech
Kyler Edwards,7,0.042,0.047,0.667,0.023,0.03,0.5,2019-20,TexasTech
Jr.  Shannon,7,0.06,0.08199999999999999,0.833,0.015,0,0,2019-20,TexasTech
Jahmi'us  Ramsey,4,0.02,0.019,0.5,0.021,0.027999999999999997,0.5,2019-20,TexasTech
Russel Tchewa,2,0.133,0.111,0.5,0,0,NA,2019-20,TexasTech
Clarence Nadolny,2,0.1,0.16699999999999998,1,0,0,NA,2019-20,TexasTech
Andrei Savrasov,2,0.2,0,0,1,1,1,2019-20,TexasTech
Avery Benson,2,0.133,0.25,1,0,0,NA,2019-20,TexasTech
Davide Moretti,1,0,0,NA,0.012,0,0,2019-20,TexasTech
Total,60,0.08,0.092,0.708,0.02,0.021,0.4,2019-20,TexasTech
