name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Patric Young,23,0.147,0.155,0.8,0.024,0.017,0.33299999999999996,2011-12,Florida
Will Yeguete,17,0.175,0.19,0.727,0.261,0.25,0.33299999999999996,2011-12,Florida
Bradley Beal,15,0.08800000000000001,0.11199999999999999,0.833,0.043,0.087,0.667,2011-12,Florida
Erik Murphy,11,0.147,0.13,0.6,0.016,0.038,1,2011-12,Florida
Casey Prather,6,0.107,0.077,0.33299999999999996,0.111,0.28600000000000003,0.667,2011-12,Florida
Mike Rosario,4,0.057,0.087,1,0.053,0.111,1,2011-12,Florida
Erving Walker,4,0.038,0,0,0.02,0.027999999999999997,0.5,2011-12,Florida
Scottie Wilbekin,2,0.077,0.125,1,0.059000000000000004,0,0,2011-12,Florida
Cody Larson,2,0.4,0.5,0.5,0,0,NA,2011-12,Florida
Kenny Boynton,2,0,0,NA,0.015,0,0,2011-12,Florida
Total,86,0.10099999999999999,0.109,0.7140000000000001,0.040999999999999995,0.053,0.5,2011-12,Florida
