name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Ebube Ebube,20,0.25,0.33299999999999996,0.737,0.033,0.083,1,2018-19,Manhattan
Warren Williams,19,0.11,0.1,0.556,0.027000000000000003,0.067,1,2018-19,Manhattan
Tykei Greene,11,0.12,0.162,0.545,0,0,NA,2018-19,Manhattan
Christian Hinckson,11,0.115,0.14300000000000002,0.556,0.111,0,0,2018-19,Manhattan
Pauly Paulicap,7,0.19399999999999998,0.188,0.429,0,0,NA,2018-19,Manhattan
Elijah Buchanan,4,0.061,0,0,0.033,0,0,2018-19,Manhattan
Thomas Capuano,4,0.043,0,0,0.027999999999999997,0,0,2018-19,Manhattan
Samson Usilo,3,0.075,0.125,1,0,0,NA,2018-19,Manhattan
Ibrahima Diallo,3,0.115,0.077,0.33299999999999996,0,0,NA,2018-19,Manhattan
Nehemiah Mack,2,0.025,0.048,1,0,0,NA,2018-19,Manhattan
Tyler Reynolds,2,0,0,NA,0.059000000000000004,0.059000000000000004,0.5,2018-19,Manhattan
Daniel Schreier,1,0.5,0.5,1,NA,NA,NA,2018-19,Manhattan
Samir Stewart,1,0.048,0,0,0,0,NA,2018-19,Manhattan
Total,88,0.11699999999999999,0.133,0.5710000000000001,0.027999999999999997,0.03,0.375,2018-19,Manhattan
