name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Keonta Vernon,21,0.125,0.125,0.65,0.02,0,0,2016-17,GrandCanyon
Kerwin Smith,19,0.27699999999999997,0.33299999999999996,0.833,0.059000000000000004,0.1,1,2016-17,GrandCanyon
Darion Clark,17,0.154,0.18899999999999997,0.7140000000000001,0.125,0.28600000000000003,0.667,2016-17,GrandCanyon
Oscar Frayer,16,0.20600000000000002,0.28300000000000003,0.929,0.036000000000000004,0.055999999999999994,0.5,2016-17,GrandCanyon
Joshua Braun,9,0.109,0.17600000000000002,1,0.055999999999999994,0.091,0.5,2016-17,GrandCanyon
Shaq Carr,4,0.055999999999999994,0.057,0.5,0,0,NA,2016-17,GrandCanyon
Fiifi Aidoo,3,0.091,0.11800000000000001,0.667,0,0,NA,2016-17,GrandCanyon
Dewayne Russell,3,0.021,0.016,0.33299999999999996,0,0,NA,2016-17,GrandCanyon
Gerard Martin,3,0.067,0.105,1,0.125,0,0,2016-17,GrandCanyon
Kenzo Nudo,1,0.1,0.16699999999999998,1,0,0,NA,2016-17,GrandCanyon
Total,96,0.11599999999999999,0.153,0.765,0.022000000000000002,0.031,0.5,2016-17,GrandCanyon
