name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Javion Ogunyemi,40,0.16699999999999998,0.17600000000000002,0.6409999999999999,0.013000000000000001,0,0,2016-17
Brett Bisping,24,0.152,0.175,0.667,0.031,0.073,1,2016-17
Lavon Long,22,0.12,0.15,0.75,0.028999999999999998,0.037000000000000005,0.5,2016-17
Marquis Wright,11,0.044000000000000004,0.064,0.7,0.011000000000000001,0.036000000000000004,1,2016-17
Nico Clareth,8,0.09300000000000001,0.033,0.2,0.016,0.042,1,2016-17
Ahsante Shivers,5,0.085,0.111,0.75,0.048,0.14300000000000002,1,2016-17
Sammy Friday,4,0.21100000000000002,0.222,0.5,0,0,NA,2016-17
Kadeem Smithen,3,0.136,0.182,0.667,0,0,NA,2016-17
Khalil Richard,2,0.1,0.16699999999999998,1,0,0,NA,2016-17
Thomas Huerter,1,0.5,0.5,1,NA,NA,NA,2016-17
Total,120,0.11599999999999999,0.136,0.6609999999999999,0.019,0.038,0.778,2016-17
