name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Dan Jennings,49,0.27899999999999997,0.273,0.706,0.14,0.10400000000000001,0.33299999999999996,2013-14,LongBeachSt.
David Samuels,22,0.19399999999999998,0.14,0.429,0.09,0.172,0.625,2013-14,LongBeachSt.
Mike Caffey,13,0.035,0.057,1,0.048,0.054000000000000006,0.375,2013-14,LongBeachSt.
A.J. Spencer,11,0.043,0.016,0.25,0.07400000000000001,0.071,0.429,2013-14,LongBeachSt.
Kris Gulley,7,0.294,0.33299999999999996,0.6,0.091,0,0,2013-14,LongBeachSt.
Travis Hammonds,6,0.067,0,0,0.111,0.045,0.2,2013-14,LongBeachSt.
Christian Griggs-Williams,4,0.222,0.16699999999999998,0.5,0.077,0,0,2013-14,LongBeachSt.
Tyler Lamb,3,0,0,NA,0.034,0,0,2013-14,LongBeachSt.
Nick Shepherd,3,0.33299999999999996,0,0,0.1,0,0,2013-14,LongBeachSt.
Branford Jones,2,0.034,0.077,1,0.02,0,0,2013-14,LongBeachSt.
Desmond Ross,1,0,0,NA,0.16699999999999998,0,0,2013-14,LongBeachSt.
Mckay LaSalle,1,0,0,NA,0.14300000000000002,0,0,2013-14,LongBeachSt.
Total,122,0.11900000000000001,0.115,0.603,0.075,0.062,0.315,2013-14,LongBeachSt.
