name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Tristian Curtis,29,0.32899999999999996,0.312,0.6,0.133,0,0,2014-15,CoastalCarolina
Marcus Freeman,25,0.297,0.28300000000000003,0.591,0.08800000000000001,0,0,2014-15,CoastalCarolina
Badou Diagne,21,0.168,0.155,0.529,0.062,0.111,0.75,2014-15,CoastalCarolina
Michel Enanga,9,0.242,0.353,0.75,0.077,0,0,2014-15,CoastalCarolina
Elijah Wilson,8,0.05,0.077,0.75,0.051,0.083,0.5,2014-15,CoastalCarolina
Uros Ljeskovic,6,0.316,0.3,0.5,0,0,NA,2014-15,CoastalCarolina
Warren Gillis,6,0,0,NA,0.018000000000000002,0.01,0.25,2014-15,CoastalCarolina
RAY-ST,4,0.2,0.25,0.75,0,0,NA,2014-15,CoastalCarolina
Josh Cameron,4,0.06,0.11800000000000001,1,0,0,NA,2014-15,CoastalCarolina
Kyle Buffkin,3,0.28600000000000003,NA,0,0.5,NA,0,2014-15,CoastalCarolina
Total,115,0.14400000000000002,0.157,0.609,0.033,0.024,0.28600000000000003,2014-15,CoastalCarolina
