name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Jae'Sean Tate,27,0.17600000000000002,0.21,0.875,0.071,0.16699999999999998,0.667,2014-15,OhioSt.
Amir Williams,16,0.163,0.10800000000000001,0.467,0.059000000000000004,0,0,2014-15,OhioSt.
Trey McDonald,16,0.295,0.29,0.6920000000000001,0.107,0.25,0.667,2014-15,OhioSt.
Marc Loving,16,0.28600000000000003,0.258,0.5710000000000001,0.036000000000000004,0.059000000000000004,0.5,2014-15,OhioSt.
D'Angelo Russell,12,0.045,0.043,0.6,0.036000000000000004,0.046,0.5,2014-15,OhioSt.
Sam Thompson,9,0.065,0.092,1,0.021,0.03,0.5,2014-15,OhioSt.
Anthony Lee,8,0.2,0.14800000000000002,0.5,0,0,NA,2014-15,OhioSt.
Shannon Scott,6,0.06,0.02,0.2,0.009000000000000001,0,0,2014-15,OhioSt.
Keita Bates-Diop,5,0.161,0.188,0.6,0,0,NA,2014-15,OhioSt.
Kam Williams,2,0.03,0.042,1,0.026000000000000002,0.062,1,2014-15,OhioSt.
Total,117,0.132,0.13,0.66,0.033,0.047,0.526,2014-15,OhioSt.
