name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Obi Enechionyia,15,0.153,0.09300000000000001,0.364,0.034,0,0,2016-17
Ernest Aflakpui,12,0.132,0.13699999999999998,0.7,0.087,0.16699999999999998,0.5,2016-17
Daniel Dingle,11,0.106,0.136,0.667,0.023,0,0,2016-17
Damion Moore,10,0.205,0.13,0.375,0.071,0,0,2016-17
Quinton Rose,9,0.053,0.077,0.833,0.012,0,0,2016-17
Mark Williams,7,0.233,0.2,0.5710000000000001,0,0,NA,2016-17
Shizz Alston,5,0.037000000000000005,0.067,1,0.015,0,0,2016-17
Alani Moore,4,0.125,0.222,0.667,0.045,0,0,2016-17
Mike Robbins,1,0.2,0.2,1,0,0,NA,2016-17
Total,74,0.113,0.114,0.596,0.023,0.004,0.071,2016-17
