name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Ricky Madison,28,0.17600000000000002,0.183,0.654,0.08,0.1,0.5,2018-19,HighPoint
Jordan Whitehead,16,0.126,0.17600000000000002,0.818,0.061,0,0,2018-19,HighPoint
Caden Sanchez,13,0.21100000000000002,0.314,0.917,0.043,0.14300000000000002,1,2018-19,HighPoint
Brandonn Kamga,11,0.092,0.062,0.4,0.018000000000000002,0.059000000000000004,1,2018-19,HighPoint
Jahaad Proctor,6,0.035,0.026000000000000002,0.4,0.006999999999999999,0,0,2018-19,HighPoint
Tim Cameron,5,0.138,0.158,0.75,0.111,0,0,2018-19,HighPoint
Sam Berlin,4,0.16699999999999998,0.2,0.5,0.25,0,0,2018-19,HighPoint
Rob Peterson III,4,0.231,0.2,0.33299999999999996,0.111,0,0,2018-19,HighPoint
Cliff Thomas Jr,3,0.33299999999999996,0.33299999999999996,0.667,NA,NA,NA,2018-19,HighPoint
Denny Slay,2,0.071,0,0,0.042,0.1,1,2018-19,HighPoint
Jamal Wright,2,0.048,0,0,0.037000000000000005,0,0,2018-19,HighPoint
Curtis Holland III,1,0,0,NA,0.024,0.062,1,2018-19,HighPoint
Total,95,0.115,0.128,0.6409999999999999,0.037000000000000005,0.027999999999999997,0.312,2018-19,HighPoint
